index,time,A,B,C
12336.0,9.869128970965699e-06,-275.59055118110234,1141.732283464567,0.0
12337.0,9.869928997633254e-06,-275.59055118110234,1141.732283464567,-39.37007874015748
12338.0,9.870729024300809e-06,-236.2204724409449,1181.1023622047244,0.0
12339.0,9.871529050968366e-06,-275.59055118110234,1181.1023622047244,-39.37007874015748
12340.0,9.87232907763592e-06,-275.59055118110234,1141.732283464567,39.37007874015748
12341.0,9.873129104303476e-06,-275.59055118110234,1141.732283464567,0.0
12342.0,9.873929130971033e-06,-275.59055118110234,1141.732283464567,0.0
12343.0,9.874729157638588e-06,-314.96062992125985,1141.732283464567,0.0
12344.0,9.875529184306143e-06,-314.96062992125985,1181.1023622047244,0.0
12345.0,9.8763292109737e-06,-236.2204724409449,1141.732283464567,0.0
12346.0,9.877129237641255e-06,-275.59055118110234,1181.1023622047244,39.37007874015748
12347.0,9.87792926430881e-06,-314.96062992125985,1141.732283464567,39.37007874015748
12348.0,9.878729290976365e-06,-314.96062992125985,1181.1023622047244,0.0
12349.0,9.879529317643922e-06,-236.2204724409449,1141.732283464567,39.37007874015748
12350.0,9.880329344311477e-06,-275.59055118110234,1181.1023622047244,-39.37007874015748
12351.0,9.881129370979032e-06,-275.59055118110234,1181.1023622047244,0.0
12352.0,9.881929397646589e-06,-314.96062992125985,1181.1023622047244,0.0
12353.0,9.882729424314144e-06,-314.96062992125985,1141.732283464567,0.0
12354.0,9.883529450981699e-06,-314.96062992125985,1181.1023622047244,0.0
12355.0,9.884329477649255e-06,-314.96062992125985,1181.1023622047244,-39.37007874015748
12356.0,9.88512950431681e-06,-314.96062992125985,1181.1023622047244,39.37007874015748
12357.0,9.885929530984366e-06,-314.96062992125985,1181.1023622047244,-39.37007874015748
12358.0,9.88672955765192e-06,-354.3307086614173,1220.4724409448818,-39.37007874015748
12359.0,9.887529584319477e-06,-275.59055118110234,1141.732283464567,39.37007874015748
12360.0,9.888329610987033e-06,-354.3307086614173,1181.1023622047244,0.0
12361.0,9.889129637654588e-06,-354.3307086614173,1181.1023622047244,0.0
12362.0,9.889929664322144e-06,-354.3307086614173,1181.1023622047244,-39.37007874015748
12363.0,9.8907296909897e-06,-314.96062992125985,1181.1023622047244,0.0
12364.0,9.891529717657255e-06,-354.3307086614173,1102.3622047244094,0.0
